Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped, Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,0,1,2,3,4,5,6,7,8,9,label
0.2976363,0.14978066,0.19188726,-0.32319397,0.7041267,0.07696211,-0.08555753,-0.066556066,-0.03441807,-0.21620874,-0.26578122,-0.16965814,-0.17766705,0.9865015,-0.11951214,-0.0076021464,-0.118543714,-0.08664343,0.8576644,0.44609773,0.01603044,0.43837687,0.082164414,0.52104694,0.072126545,0.028295096,0.10347522,-0.07417168,0.029171882,0.07271017,0.08395717,0.44198325,0.093265615,-0.06034196,0.45971122,-0.24268165,0.69982624,-0.340361,0.7822708,0.5161099,0
0.10134947,0.20118935,0.1534504,-0.26521978,0.5653405,0.045398116,0.1034403,-0.022273488,-0.0127763925,0.18418363,0.22929819,0.1346317,0.08164285,0.8713215,-0.03744054,0.009352262,0.012840727,0.022920992,0.6463331,0.337827,0.07440703,0.3579555,-0.067938045,0.3212842,0.06755818,0.060868293,0.06849424,-0.123731434,-0.10772159,0.0058874143,0.05333153,0.11562436,0.16461663,0.05401762,0.016091255,0.25588968,0.120018534,0.47273412,-0.1942178,0.11391045,0
-0.59247637,0.1673824,0.29409924,0.3985164,0.47059175,0.128133,-0.054187447,-0.011243571,0.09743391,-0.24534608,-0.25787598,0.20641324,0.10944546,0.98315465,-0.040636078,-0.04307708,-0.10129419,-0.029269472,-0.10415605,0.46893743,0.032251507,0.48883387,0.03715924,0.46058542,0.011785211,0.22606675,0.110153764,0.028857948,-0.008790587,0.14585942,0.10278264,0.45906484,0.3963654,-0.06299685,-0.24496584,0.04965343,0.672482,0.47440153,0.30673385,0.06471233,0
0.001020053,0.4382202,0.26817256,0.061442964,0.7598524,-0.05749543,-0.021589248,0.040721655,-0.041522842,0.26109034,0.24303055,0.036307853,0.23259044,0.94058853,-0.02956229,-0.034408595,-0.067171104,-0.040822543,0.67835903,0.3724843,-0.08428336,0.3979594,0.011629672,0.41032767,-0.0046494976,-0.100786984,0.16402835,0.027096529,0.0716431,0.08832822,0.10264702,0.26220027,-0.07672862,0.08382939,0.41720918,0.16945675,0.22258982,0.31856596,0.5477264,0.18008344,0
-0.0124088675,-0.038844988,-0.17954053,-0.09290474,0.06798162,-0.017709551,0.04385974,0.028739478,0.03810637,0.08994403,0.06461363,0.064635254,0.12712966,0.91766435,0.024350537,0.0072702975,-0.10258788,0.03806243,0.58467364,0.2657494,0.051235832,0.3521801,0.065871514,0.32362515,0.029989237,0.01851903,0.091729105,-0.034595232,-0.08992107,-0.014639194,-0.04194104,0.08052862,0.10583616,-0.05870371,0.4376985,0.040544022,0.14231347,0.5601971,0.1326252,0.106603265,0
0.48553827,0.51780725,0.5338092,0.8798027,0.7305335,0.14509012,-0.024008615,0.009675038,-0.016181007,-0.15785804,-0.21073389,0.037271634,-0.02711632,0.82692945,-0.038301274,-0.020845255,-0.07795367,-0.018103532,0.3120075,0.49582052,0.0074529834,0.43774986,0.060597125,0.4189005,0.0004711784,0.059194833,0.046878055,0.8833585,0.88616693,0.033088177,0.09047332,-0.46634135,-0.19543406,-0.030456893,0.80943495,0.21230024,0.033306617,0.34184495,0.15783189,0.13780041,1
0.16732082,0.20910992,0.25033543,0.62038696,0.38185856,0.036402233,-0.07460447,0.0011746458,-0.024430882,0.16354936,0.16771208,0.1917359,0.17875968,0.8177711,0.011126933,-0.07395352,-0.022895044,-0.07417276,0.29511964,0.47012386,-0.031560738,0.41177872,0.0361537,0.45162183,0.017996563,-0.02301707,0.013031291,0.6489381,0.6484226,0.03861811,-0.007957999,0.31337923,-0.00051383296,-0.0035208827,0.3913276,0.16757554,-0.36900145,0.3485836,-0.04875106,0.1022532,1
0.1257017,0.6316387,0.61554766,0.8756317,0.863297,0.088824704,-0.09686573,-0.009112403,-0.035320476,-0.1522391,-0.17912032,0.122971654,0.13965385,0.9266278,0.07655284,-0.106778674,-0.08414383,-0.16317292,0.2788485,0.529804,-0.16849414,0.5705088,0.12418291,0.60566556,0.10870307,0.02540141,0.14779694,0.84577936,0.8697753,0.25793397,0.0120873675,0.514322,0.19776885,0.011252847,-0.30746007,-0.2718251,0.6971773,-0.5984917,0.37768537,0.5393368,1
0.4423767,0.0006070919,0.039996028,0.4566776,0.15740749,0.031654857,0.04018351,0.05021118,-0.0447277,-0.06500878,-0.14518589,0.013022048,-0.031991016,0.4373151,-0.011411965,-0.044285584,-0.00067068066,-0.013164948,0.35814503,0.2704142,-0.025249783,0.22151436,-0.008020469,0.30059373,0.0065000593,0.010669493,0.033190623,0.6218436,0.6335641,-0.035258975,0.026615852,0.0028624567,-0.028682323,-0.06688204,0.22167215,0.12246096,0.055035923,0.25497907,0.08994877,-0.109137975,1
-0.118976034,0.6430086,0.6307564,-0.1997198,0.94588095,0.11991971,-0.030829297,-0.00993718,-0.056682717,0.062224455,-0.06077854,0.4278117,0.34681275,0.98618,-0.08314193,0.012135483,-0.12150551,-0.079312995,0.7687849,0.63627404,-0.041762665,0.62363285,0.100725934,0.5980638,0.15418221,-0.020205269,0.2223602,-0.2443043,-0.20478886,0.19657171,0.13057986,0.58200616,0.04705181,0.02794974,0.3613122,0.627229,-0.3635565,0.7427836,0.023520792,-0.03815844,0
0.43201602,0.3763064,0.44707355,0.91394126,0.55426645,0.012998482,-0.10003123,0.05781016,-0.009116345,0.2755734,0.15354109,0.43514192,0.35860637,0.93446445,-0.08261085,-0.15321071,-0.086437814,-0.18276642,0.2258873,0.6436926,-0.1306498,0.6466723,0.22656947,0.63197136,0.16587256,0.07642322,0.24733183,0.9401215,0.9297241,0.17832185,0.110649906,0.31284565,0.018066538,0.09052891,-0.4838595,0.23075312,0.6451169,0.14917627,0.33971325,-0.07691601,1
-0.06283484,0.553859,0.6236805,0.9061481,0.8424531,0.0027905854,-0.04192243,0.1358016,-0.08387436,0.19481571,0.0079409415,0.39657706,0.5030371,0.8913631,-0.03431481,-0.15347299,-0.035544876,-0.15809807,-0.15216485,0.44488302,0.11358665,0.5595406,0.13514856,0.5460295,0.04241556,-0.043987203,0.021144712,0.886795,0.8546222,0.1736613,0.10696582,0.6897906,0.53316385,-0.09578274,-0.2653891,0.15266205,-0.22145921,0.6800703,-0.10667561,0.047160335,1
